Deposit,Lat_WGS84,Long_WGS84,State,MinSystem,DepType,CritMin,FocusArea,DepCat,Rank ,Production,Resources,Source_s,Links
Just graphite mine,40.07781,-75.63293,PA,Metamorphic,Graphite (coal or carbonaceous sed),graphite,Chester-Allentown graphite district,CM-past producer+resources,5,"District produced 6,350 metric tons graphite (1889–1954).","Reserve (1987—Benjamin Franklin and Just mines): 800,000 metric tons ore @2.3% graphitic carbon.",MRDS (2005); Fogg and Boyle (1987),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10135434
Kaiyuh Hills,64.2216,-156.6661,AK,Mafic magmatic,Chromite,chromium,Kokrine Hills-Yukon Flats (Tozitna and Angayucham Terranes) PGE,CM resources,3,None.,"Total 1984 estimated reserve potential for 4 deposits in the Kaiyuh Hills is between 17,000 and 37,000 tons of contained Cr2O3.","ARDF-ID: NL003, NL004, NL005, and NL006; Foley and others (1984)",
Katahdin pyrrhotite deposit,45.44328,-69.19437,ME,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel",Ore Mountain (Katahdin Iron Works),CM resources,3,None.,"Resource (1976): 39.2 Mt @ 27% S, 44% Fe, 0.1% Co, 0.1% Ni, and 0.1% Cu; (2022): 60 Mt @0.10% Co, 0.13% Ni, and 0.07% Cu.",MRDS (2005); Slack and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10266977
Kauai Deposits,22.07404,-159.50228,HI,Chemical weathering,Bauxite,"aluminum, titanium",Hawaii bauxite,CM resources,3,None.,"Resource (1971): estimated to be 110 million tons ferruginous bauxite containing an average of 25.9% Al2O3, 4.7% SiO2, 39.4% Fe2O3 and 6.7% TiO2.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10144218
Kay,34.06036,-112.16043,AZ,Volcanogenic seafloor,Zinc-copper sulfide,zinc,Southern Basin and Range VMS,CM resources,3,Unknown.,"Resource estimated at 163,000 metric tons Zn.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10186398
Kerramerican (Blue Hill) mine,44.39516 ,-68.61328,ME,Volcanogenic seafloor,Polymetallic sulfide,zinc,Callahan mine area,CM-past producer,1,"Production (1972-1977): approximately 1,000,000 tons ore @7.35% Zn, 0.89% Cu, and 0.35% Pb.","Estimated that 50,000 to 75,000 tons of ore remain as pillars; ore is unrecoverable. Site is reclaimed.",MRDS (2005); Lepage and others (1991),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10194442
Key West mine,36.61805,-114.16692,NV,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel, PGE",Bunkerville district,CM-past producer+resources,5,"Production: (1908-1935): 127,976 lbs Cu, 1,700 lbs Ni, 177 oz Pd, 52 oz Au, 10 oz Pt, and 982 oz Ag.","Resources (1980): 226,600 tons ore @0.37% Co, 1.5% Cu, 0.01 troy oz/ton Au, 1.09% Ni, 0.68 troy oz/ton Pd, 0.06 troy oz/ton Pt, and 0.34 troy oz/ton Ag.",MRDS (2005); Tingley and LaPointe (1999),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038079
Keystone mine,44.44519,-114.32842,ID,Alkalic porphyry,Fluorspar,fluorspar,Challis fluorspar,Past producer+CM resources,2,"Historical production of Ag, Cu, and Pb.","Possible reserves (1971): 5,000,000 tons @40% fluorite. Probable reserves (1971): 3,500,000 tons @40% fluorite.",MRDS (2005); Pye (1971),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10071078
Kings Bend mine,36.50038,-83.64849,TN,Basin brine path,Zinc-lead (MVT and sedex),zinc,Powell River Zinc District,CM-past producer,1,Production (1935-1945): 800 tons Zn and Pb concentrate (with Bunch Hollow mine).,Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10275334
Kings Creek mine,35.07791,-81.43733,SC,Volcanogenic seafloor,Barite,barite,Kings Creek Mining District,CM-past producer+resources,5,"Production (1910-1953): ~400,000 short tons barite; (1953-1966): 32,800 short tons barite.","Reserve: probably exceed 500,000 short tons barite.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10078196
Kings Mountain (Foote deposit),35.22194,-81.35463,NC,Porphyry Sn (granite-related),Pegmatite LCT,lithium,Kings Mountain pegmatite district,CM-past producer+resources,5,"Production (1975-1986): 1,325,369 metric tons ore @1.51% Li2O and 20,700,000 short tons ore @0.06% Be.","Proven + Probable reserve (1986): 23,900,000 short tons ore @1.5% Li2O.",Karl and others (2019); Griffits (1954),https://doi.org/10.5066/P9ZKRWQF
Kings Valley (Thacker Pass deposit),41.71198,-118.07499,NV,Lacustrine evaporite,Lithium clay,lithium,McDermitt Caldera,CM resources,3,None.,"Total reserves and resources (2022): 1,754,400,000 metric tons @0.439% Li2O. Inferred resource (2018): 124,890,000 metric tons ore @1.1% Na, 3.04% K; Proven + Probable reserve-inclusive (2018): 179,422,000 metric tons ore @3,283 ppm Li.",Karl and others (2019); Roth and others (2022),https://doi.org/10.5066/P9ZKRWQF
Klondike mine,37.21947,-88.32924,KY,Hybrid magmatic REE / basin brine path,Fluorspar,fluorspar,Illinois-Kentucky Fluorspar District,CM-recent producer+resources,6,"Production: produced between 10,000 and 100,000 short tons fluorspar.","Reserves (2006): 1,600,000 tonnes ore @60% fluorite.",MRDS (2005); Trace and Amos (1984); Feytis (2009),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10267511
Klukwan pyroxenite deposit,59.4197,-135.8843,AK,Mafic magmatic,Nickel-copper-PGE sulfide,"titanium, vanadium",Southeast Alaska PGE,CM resources,3,None.,"Resource (1975): 13,000,000,000 tons of magnetite ore in pyroxenite @15-20% Fe, 2% TiO2 and 0.2% V2O5. ",ARDF-ID: SK033; Fischer (1975),
Knob Creek,35.48572,-81.57465,NC,Placer,Ilmenite/rutile/leucoxene,REE,Piedmont fluvial placers,CM resources,3,None.,"Reserves (1953): 5,604 tons ilmenite, 997 tons monazite-xenotime, 886 tons rutile, and 82 tons zircon.",Bellora and others (2019); Griffith and Overstreet (1953a),https://doi.org/10.5066/F7FN15D1
Knox,44.17167,-69.27481,ME,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel",Union-Warren nickel sulfide deposits,CM resources,3,None.,"Total resources (1992): 3,100,000 metric tons @1.265% Ni (39,000t Ni), 0.585% Cu, and 0.015% Co (3,300t Co).",Beck (2010),
Kougarok,65.7103,-165.2289,AK,Porphyry Sn (granite-related),Greisen,"tantalum, tin",Lost River-Kougarok Sn-W,CM resources,3,None.,"Reserve (1980): 5,700,000 short tons @0.39% Sn. Total resources (2001): 2,700,000 metric tons @0.020% Ta and 0.500 % Sn. Estimated resources (trenching and drilling) of about 14,100 tons of Sn contained in 3 million tons of rock, including 240,000 tons grading 1.4% Sn and 110,000 tons grading 2.3% Sn. (source: Alaska Mineral Locations Database Report, March 7, 2001). Potential large resource of low-grade (0.1-0.3% Sn) Sn mineralization amenable to open-pit mining.",ARDF-ID: TE072; Karl and others (2018); Navigator Exploration Corporation (2001),https://doi.org/10.5066/P97JYNJL
Kraken,44.4862,-114.3347,ID,Alkalic porphyry,Fluorspar,fluorspar,Challis fluorspar,CM resources,3,None.,"Measured + Indicated reserve (1977): 450,000 tonnes @30% CaF2.",Kauffman (1977),
La Paz,34.14476,-113.79209,AZ,Magmatic REE,Peralkaline syenite/granite/rhyolite/alaskite/pegmatites,"REE, scandium",La Paz,CM resources,3,None.,"Inferred resource (2011): 112,000,000 tonnes @0.037% REE. Indicated resource (2011): 16,200,000 tonnes @0.037% REE.
Total indicated and inferred resources (2021): 170,595,400 tonnes @391 ppm REE and 17 ppm Sc.",American Rare Earths (2021); Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
La Sal project,38.31339,-109.26563,UT,Meteoric recharge,Sandstone uranium,vanadium,Colorado Plateau sandstone uranium,CM-past producer+resources,5,"Pandora mine produced 1960s-1988. In 2019, Pandora and La Sal mines produced 5,545 tons @1.43% V2O5 and 0.21% U3O8. In 2018-2019, La Sal produced more than 5,000 tons of ore @1.51% V2O5 and 0.18% U3O8. Energy Queen shaft production 1979-1983: 12,799.7 tons @0.164% eU3O8 and 0.70% V2O5 (178,167 lbs V2O5). Other mines in the project area produced 580,000 tons of ore from 1977-1982 and 1985-1990.","Total Inferred resources for 4 deposits (Pandora, Neaver/La Sal, Redd Block, and Energy Queen) 823,000 tons @0.26% eU3O8 and 1.08% V2O5 (17,746,000 lbs V2O5).",Mathisen (2022),
Ladd,41.8218,-123.122,CA,Mafic magmatic,Chromite,chromium,Klamath Mountains chromite,CM-past producer+resources,5,"Production (1942-1943): 1,885 long tons chromite ore.","Resource (1986): 5,102,000 metric tons ore @3.39% Cr2O3.",MRDS (2005); Wetzel (1986); Wells and others (1946),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10238502
Lakehurst,40.06668,-74.33291,NJ,Placer,Ilmenite/rutile/leucoxene,titanium,Lower Shoreline Placers,CM-past producer,1,"Production (1962-1976): ~90,000 Mt/year total heavy minerals @~3.5% ilmenite.",Unknown.,MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10024978
Lakes barite mine,41.14028,-116.11833,NV,Basin brine path,Barite (replacement and bedded),barite,North-central Nevada barite,CM-past producer+resources,5,"Produced 1959-1965; 1973-1981 produced <1,000,000 short tons.","Resources (1982): 8,000,000 tons, 4.1 sp. gr.",MRDS (2005); Nevada Bureau of Mines and Geology (2017),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10100742
Lakeview,68.6066,-157.4783,AK,Basin brine path,Barite (replacement and bedded),barite,Brooks Range-Northern Foreland Sed Cu,CM resources,3,None.,"Kelley and others (1993) estimated that the Lakeview occurrence has an Inferred reserve of 3,778,000 metric tons barite with a specific gravity of 4.13.",ARDF-ID: HW023; Kelley and others (1993),
Lanxess project- Smackover,33.1686,-92.77906,AR,Basin brine path,Basin brine,lithium,Smackover Formation lithium,CM resources,3,None.,"Total resources 3,149,000 metric tons LCE. Average Li concentration used in the resource calculation is 168 mg/L.",Li (2023),
Las Mesas deposit,18.18632,-67.10946,PR,Chemical weathering,Nickel-cobalt laterite,"cobalt, nickel",Puerto Rico Ni-Co laterite,CM resources,3,None.,"Inferred drill-Indicated resource (1959): 25,000,000 short tons @0.75% Cr, 0.12% Co, 28.39% Fe, and 0.81% Ni; cutoff grade 0.6% Ni.",Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Last Chance deposit,44.9382,-113.4664,MT,Magmatic REE,Hybrid Th-REE-Fe veins and replacements,REE,Lemhi Pass mineral district,CM resources,3,None.,"Inferred resource (2015): 963,500 tonnes ore @1650 g/tonne TREO. Estimated resource (1991): 33,329 tons ore @0.32% REO. Possible resource (1991): 486,519 tons ore @0.28% REO. Probable resource (1991): 79,905 tons ore @0.48% REO. Proved resource (1991): 16,427 tons @0.93% REO. Note that the Lemhi Pass district that includes the Last Chance has non-compliant resource estimates (in metric tons): 77,345t Y, 25,780t La, 69,980t Ce, 11,050t Pr, 66.296t Nd, 40,515t Sm, 14,735t Eu, 40,515t Gd, 1.840t Tb, 14,735t Dy, 1,840t Ho, 1.840t Yb, and 929t or less each of Er, Tl, and Lu as well as 64,000 metric tons ThO2 resources.",Bellora and others (2019); Hedrick (2010); Long and others (2010); Staatz (1979),https://doi.org/10.5066/F7FN15D1
Leadville mine,39.23388,-106.76006,CO,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,zinc,Central Colorado Mineral Belt carbonate-replacement deposits,CM-past producer+resources,5,"Production: 8,400 tons Ag, 101 tons Au, 1,200,000 tons Pb, 53,000 tons Cu, 1,235,000 tons Zn, and 0.9 to 2.6 million tons Fe-Mn ore.","Resource 47.4 million tons @3.5% Zn, 2.9% Pb, 0.106% Cu, 190 g/t Ag, and 2.6 g/t Au.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10013378
Lejaiv Unite #1-14,37.37304,-113.83137,UT,Carlin-type,Antimony,antimony,Goldstrike district,CM-past producer,1,Production: ~10 tons Sb ore shipped in early 1970s.,Unknown.,MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10011003
Lik,68.1664,-163.202,AK,Basin brine path,Zinc-lead (MVT and sedex),zinc,Western and central Brooks Range (Brooks Range zinc belt),CM resources,3,None.,"Indicated resource (2022): 17.6 million tonnes @8.07% Zn, 2.68% Pb, and 50.1 g/t Ag + an additional Inferred resource of 2.8 million tonnes @8.64% Zn, 2.73% Pb, and 38.9 g/t Ag.",ARDF-ID: DL005; Hulse and others (2022),
Lime Peak Pluton,65.635,-146.7,AK,Porphyry Sn (granite-related),Greisen,tin,Yukon-Tanana Sn-W,CM resources,3,None.,"Resource (1988): 5,000,000 short tons ore @0.05% (calculated by summing Sn greisen measurements over an area of more than 8 mi2).",ARDF-ID: CI079; Karl and others (2020); Warner and others (1988),https://doi.org/10.5066/P97JYNJL
Little Sister mine,37.34678,-118.53088,CA,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Eastern California tungsten,CM-past producer,1,Production (1918-1941): 644 tons WO3.,Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Lone Mountain,39.61251,-116.26245,NV,Basin brine path,Zinc-lead (MVT and sedex),zinc,Lone Mountain district,CM-past producer+resources,5,"Mountain View (Lone Mountain) mine (1964): ~5 million lbs Zn, 650,000 lbs Pb, 4,000 lbs Ag, and 600 lbs Cu. The Mountain View mine is located on the patented mining claim that forms part of the Lone Mountain Project.","Total Inferred resources (2018): 3,257,000 metric tons @7.57% Zn and 0.70% Pb at cutoff grade of 2% Zn.",Ling and others (2019),
Lone Pine,33.2373,-108.7198,NM,Climax-type,High sulfidation,tellurium,Wilcox district,CM-past producer,1,Wilcox district produced 5 tons of tellurium as well as fluorite.,Unknown.,MRDS (2005); Lueth and others (1996); McLemore (2013) Ratte and others (1979).,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10174446
Lone Tree,39.98219,-105.50356,CO,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Boulder County tungsten district,CM-past producer,1,"Production (1907-1917): 40,000 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Long Valley monazite placer,44.47657,-115.9884,ID,Placer,Monazite/xenotime,REE,Idaho Critical Mineral Placers,CM-past producer,1,"Production (1950-1955): 12,880,000 yd3 bulk material @0.002 tons/yd3 zircon, 0.000351 tons/yd3 garnet, 0.000551 tons/yd3 monazite, 0.0061 tons/yd3 ilmenite. Location from MRDS and Boilings Springs 1:62,500 quadrangle.",Unknown.,MRDS (2005); Bellora and others (2019),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10266505; https://doi.org/10.5066/F7FN15D1
Longnose deposit,47.55639,-92.00768,MN,Mafic magmatic,Iron-titanium oxide,"titanium, vanadium",Midcontinent Rift oxide-ultramafic intrusions (OUIs),CM resources,3,None.,"Indicated resource (2012): 58,100,000 metric tons @ 16.6% TiO2 and 18.8% Fe2O3 (adjusted for Fe in ilmenite and silicates) as 31.5% FeTiO3; Inferred resource (2012): 63,300,000 metric tons @ 16.4% TiO2 and 19.4% Fe2O3 (adjusted for Fe in ilmenite and silicates) 31.2% FeTiO3.",MRDS (2005); Johnson and Farrow (2012),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10082830
Longview barite (Cutaway Basin),68.6159,-157.4548,AK,Basin brine path,Barite (replacement and bedded),barite,Brooks Range-Northern Foreland Sed Cu,CM resources,3,None.,"Inferred resource of 29,500,000 tonnes Ba for Longview. See also Lakeview (more than a km away but may be related).",ARDF-ID: HW034,
Lost Creek mine,45.48712,-112.8045,MT,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Rock Creek-Lost Creek mining districts,CM-past producer,1,"Production (1952-1956): 21,150 tons of ore with a grade of 0.18% WO3.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10042778
"Lost River, Cassiterite Creek placer",65.472,-167.161,AK,Placer,Cassiterite,tin,Lost River-Kougarok Sn-W,CM-past producer+resources,5,"Production (1949-1951): 52,000 cubic yards Sn.","Resource (1995): 40,000 cubic meters ore @2.1 kg/cubic meter Sn.",ARDF-ID: TE046; Karl and others (2018),https://doi.org/10.5066/P97JYNJL
"Lost River, Cassiterite dike",65.476,-167.153,AK,Porphyry Sn (granite-related),Polymetallic sulfide S-R-V-IS,"fluorspar, tin",Lost River-Kougarok Sn-W,CM-past producer+resources,5,Production: 350 tons Sn.,"Measured reserve (2002): 24,600,000 tons ore @16.3% fluorite, 0.03% W, and 0.15% Sn.",ARDF-ID: TE048: Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Lost Sheep mine,39.73327,-113.23415,UT,Climax-type,Fluorspar,fluorspar,Spor Mountain,CM-past producer+resources,5,"Cumulative production 1958-2014: ~170,000 short tons of fluorite. Purple Pit breccia pipes produced most of that 1948-2007. Small-scale mining 2008-2017 in preparation for larger scale production.","Non-compliant exploration target estimate (2021): 200,000 to 350,000 metric tons at 40 to 60% fluorite.",MRDS (2005); Puritch and others (2021),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10069422
Lower Jumbo mine,33.95784,-112.57102,AZ,Porphyry Sn (granite-related),Pegmatite LCT,lithium,White Picacho,CM-past producer+resources,5,Production (1947-1952): 55 tons of spodumene @20% Li.,"Reserve (1952): 9,000 metric tons ore @20% Li.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10027531
Luckie No. 2,40.00431,-105.40756,CO,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Boulder County tungsten district,CM-past producer,1,"Production (1913-1943): 72,000 stu WO3.",Unknown.,Karl and others (2018),https://doi.org/10.5066/P97NJLI4
Lucky 13,64.2392,-143.8939,AK,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Yukon-Tanana Sn-W,CM resources,3,None.,"Resource (1979): 20,000 tons @1.5% WO3.",ARDF-ID: EA091; Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Lucky Friday,47.47056,-115.7833,ID,Coeur d'Alene-type,Polymetallic sulfide,zinc,Coeur d'Alene Mining District (Silver Valley antimony),CM-recent producer+resources,6,"In production since 1942. In 2022, produced 11,282 metric tons Zn, 26,520 metric tons Pb, and 4,412,764 oz Ag.","Total reserves and resources (2022): 15,056,273 metric tons @2.8% Zn, 6.6 % Pb, and 339,429 g/t Ag.",SLR International Corporation (2022); Hecla Mining Company (2023a),
M.G.L. mine,40.03379,-119.26441,NV,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Northern Nevada tungsten skarns,CM-past producer,1,"Production (1917-1961): 32,300 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
MacIntyre mine,44.05108,-74.05035,NY,Mafic magmatic,Iron-titanium oxide,titanium,Sanford Lake-Tahawas Mining District,CM-past producer,1,"Production (1971-1979): 11,319,000 metric tons titaniferous magnetite ore; recoveries were 41.1% for magnetite concentrate and 51.8% for ilmenite concentrate.",Unknown.,MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10150830
Madison mine,37.54614,-90.27615,MO,Basin brine path,Zinc-lead (MVT and sedex),"cobalt, nickel",Mine La Motte-Fredericktown subdistrict,CM-past producer+resources,5,"Production (1944-1961): 4,156,701 metric tons ore yielding 265,613 metric tons Fe, 99,345 metric tons Pb, 28,681 metric tons Cu, 12,054 metric tons Ni, 9,560 metric tons Co.","Resource: (2002) 12,081,000 metric tons ore @0.35% Co. Probable reserve (1957) 3,000,000 short tons ore @0.2% Ni, 0.4% Cu, 0.16% Co, and 1.75% Pb. Proven reserve (1957): 1,500,000 short tons @0.24% Ni, 0.6% Cu, 2.3% Pb, and 0.18% Co.",Burger and others (2018); Dicken and others (2022),https://doi.org/10.5066/P9V74HIU
Magmont (Casteel) mine,37.63949,-91.12258,MO,Basin brine path,Zinc-lead (MVT and sedex),zinc,Viburnum Trend,CM-past producer+resources,5,"Production (1968-1993): ~23.6 million metric tons ore @~7.5% Pb, 2.0% Zn, and 0.15% Cu.","Resource (2008): 23,400,000 metric tons @7.3% Pb, 1.0% Zn, 0.26% Cu, and 10.6 g/metric ton Ag.",MRDS (2005); Bradley and Krolak (1989),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10073171
Majuba Hill,40.68322,-118.53432,NV,Porphyry Sn (granite-related),Porphyry/skarn,tin,Trinity Range-Kamma Mountains,CM-past producer,1,"Production (1906-1951): 1,100 short tons (1,000 t) Cu, 184,000 troy oz (5.7 t) Ag, 440 short tons (400 t) Pb, <5,253 troy oz (0.16 t) Au, minor Zn, and approximately 10 to 15 short tons (9.1–13.6 t) Sn. ",Unknown. Current (2023) exploration target for copper. ,MRDS (2005); Vikre and others (2023) ,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10042468
Magnet Cove,34.4372,-92.8564,AR,Magmatic REE,Carbonatite,titanium,Magnet Cove District-Potash Sulphur Springs,CM-past producer+resources,5,"Production (1932-1944): 5,000 tons rutile concentrate.","Reserves (1976): estimated that rutile-bearing material is ~7,750,000 tons containing 100,000 tons of rutile @95% TiO2.",MRDS (2005); Herz (1976),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10259905
Maltby No. 2 mine,38.5135,-122.31273,CA,Meteoric recharge,Cryptocrystalline magnesite,magnesium,California Coast Ranges serpentinite magnesite belt,CM-past producer,1,"Maltby No. 2 mine (Blanco and Snowflake) was among the first magnesite mines to be worked in California. Shipments began in 1891 and continued for 10 years for a total production between 10,000 and 12,000 tons of magnesite.",Unknown.,MRDS (2005); Hess (1908),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10031612
Mammoth (CA),40.76291,-122.45554,CA,Volcanogenic seafloor,Copper-zinc sulfide,zinc,North central California massive sulfide,CM-past producer,1,"Production (1905-1925): 3,311,145 tons Cu ore, averaging 3.99% Cu, 4.2% Zn, 2.24 oz/t Au and 0.038 oz/t Ag; 84,000 tons Zn ore, averaging 21.1% Zn, 2.4% Cu. 5.79 oz/t Ag, and 0.078 oz/t Au.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10077557
Mammoth (CO),39.94416,-105.48587,CO,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Boulder County tungsten district,CM-past producer,1,"Production over 45,000 stu WO3.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10214277
Mammoth prospect,38.15105,-115.6564,NV,Climax-type,Fluorspar,fluorspar,Quinn Canyon district,CM-past producer+resources,5,District production 50 short tons fluorspar up to 1951.,"Estimated reserves (1956): 3,125,000 short tons @30-35% CaF2.",MRDS (2005); Nevada Bureau of Mines and Geology (2017),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10295372
Manganese Valley mine,32.20346,-107.59198,NM,Chemical weathering,Supergene manganese,manganese,Little Florida Mountains district,CM-past producer,1,"Production (1918-1939): 16,000 tons @45% Mn; fluorite production was 13,428 tons.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10067834
Maple Mountain-Hovey Mountain,46.39322,-68.0316,ME,Marine chemocline,Iron-manganese,manganese,Aroostook County manganese,CM resources,3,None.,"Resources: 260,000,000 metric tons @8.87% Mn (23,100,000 metric tons Mn). District Reserves of 1,300,000 tons Mn from Miller (1947) updated to 29,210,000 metric tons Mn in Cannon and others (2017), citing work by Kilgore and Thomas (1982). A combined resource (including reserves designated in early studies) for the Aroostook County deposits is calculated here to be ~327 Mt @9.0% Mn (Slack and others, 2022).",MRDS (2005); Cannon and others (2017); Slack and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10084515
Margerie Glacier,59.01282,-137.08652,AK,Porphyry Cu-Mo-Au,Porphyry/skarn copper,tungsten,Glacier Bay,CM resources,3,None.,"Inferred resource (1991): 160,000,000 tons ore @0.13 troy oz/ton Ag, 0.2% Cu, 0.008 troy oz/ton Au, and 0.01% W. Note that deposit is within Glacier Bay National Park and Preserve where exploration and development are restricted.",ARDF-ID: SK020; Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Maricao East deposit,18.14953,-66.98086,PR,Chemical weathering,Nickel-cobalt laterite,"cobalt, nickel",Puerto Rico Ni-Co laterite,CM resources,3,None.,"Inferred drill-Indicated resource (1959): 5,600,000 short tons ore @0.67% Cr, 0.11% Co, 29.45% Fe, and 1.08% Ni; cutoff grade 0.6% Ni.",Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Maricao West deposit,18.15466,-66.99337,PR,Chemical weathering,Nickel-cobalt laterite,"cobalt, nickel",Puerto Rico Ni-Co laterite,CM resources,3,None.,"Inferred drill-Indicated resource (1959): 5,000,000 short tons ore @0.59% Cr, 0.1% Co, 22.05% Fe, and 0.98% Ni; cutoff grade 0.6% Ni.",Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Markus mine,41.15612,-117.29726,NV,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Northern Nevada tungsten skarns,CM-past producer,1,"Production (1955-1956): 100,000 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Mason Creek,65.2265,-153.3487,AK,Placer,Cassiterite,tin,Placer Au,CM-past producer+resources,5,"Production (1918): 2,000 lbs Sn.","Resource (1995): 14,000 cubic meters concentrate @0.35 kg/cubic meter Sn and 1.6 g/cubic meter Au.",Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Maturi,47.8048,-91.72869,MN,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel, PGE",Midcontinent Rift large mafic intrusions,CM resources,3,None.,"Maturi resource (2014): Measured + Indicated mineral resource: 1,130,000,000 short tons ore @104.5 ppm Co, 0.59% Cu, 0.083 ppm Au, 0.19% Ni, 0.347 ppm Pd, 0.153 ppm Pt, and 2.14 ppm Ag. Inferred mineral resource: 530,600,000 short tons @0.07 ppm Au, 0.16% Ni, 97.6 ppm Co, 0.138 ppm Pt, 1.81 ppm Ag, 0.314 ppm Pd, and 0.49% Cu.",Barber and others (2014); Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Maturi Southwest,47.7841,-91.78913,MN,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel, PGE",Midcontinent Rift large mafic intrusions,CM resources,3,None.,"Maturi Southwest Indicated resource (2014): 102,600,000 short tons ore @108.1 ppm Co, 0.48% Cu, 0.048 ppm Au, 0.17% Ni, 0.185 ppm Pd, 0.08 ppm Pt, and 1.58 ppm Ag. Maturi Southwest Inferred resource (2014): 32,300,000 short tons ore @102.2 ppm Co, 0.43% Cu, 0.041 ppm Au, 0.15% Ni, 0.157 ppm Pd, 0.065 ppm Pt, and 1.43 ppm Ag.",Barber and others (2014); Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Maybe Canyon,42.7634,-111.3089,ID,Marine chemocline,Phosphate,REE,Phosphoria Formation,Past producer+CM resources,2,Production of phosphate.,"Resource (1989): 6,350,000 metric tons @0.1% REE and 25% P2O5.",Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
